[2026-04-21 12:05:27 +0200] FAILED | user: kokok | ip: 127.0.0.1
[2026-04-21 12:05:34 +0200] FAILED | user: klk | ip: 127.0.0.1
[2026-04-21 12:05:40 +0200] FAILED | user: klklkl | ip: 127.0.0.1
[2026-04-21 12:05:45 +0200] FAILED | user: ölk | ip: 127.0.0.1
[2026-04-21 12:05:54 +0200] FAILED | user: ölkölk | ip: 127.0.0.1
[2026-04-21 12:05:59 +0200] FAILED | user: ölkölkölk | ip: 127.0.0.1
[2026-04-21 12:06:39 +0200] FAILED | user: ölkölkölk | ip: 127.0.0.1
[2026-04-21 12:06:40 +0200] FAILED | user: ölkölkölk | ip: 127.0.0.1
[2026-04-21 12:06:41 +0200] FAILED | user: ölkölkölk | ip: 127.0.0.1
[2026-04-21 12:06:51 +0200] FAILED | user: ölkölkölk | ip: 127.0.0.1
[2026-04-21 12:07:03 +0200] FAILED | user: ölkölkölk | ip: 127.0.0.1
[2026-04-21 12:07:10 +0200] FAILED | user: llkjlkjlj | ip: 127.0.0.1
[2026-04-21 12:27:09 +0200] SUCCESS | user: hugo | ip: 127.0.0.1
[2026-04-21 12:30:35 +0200] SUCCESS | user: hugo | ip: 127.0.0.1
[2026-04-21 12:35:03 +0200] SUCCESS | user: hugo | ip: 127.0.0.1
[2026-04-21 15:06:45 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:06:54 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:07:06 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:08:50 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:09:01 +0200] FAILED | user: okok | ip: 127.0.0.1
[2026-04-21 15:10:05 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:13:38 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:13:53 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:15:31 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:15:38 +0200] SUCCESS | user: hugo | ip: 127.0.0.1
[2026-04-21 15:20:29 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:21:17 +0200] FAILED | user: hugo2 | ip: 127.0.0.1
[2026-04-21 15:23:42 +0200] SUCCESS | user: hugo | ip: 127.0.0.1
